Time (seconds),strength
0.76,1037
0.86,1045
0.97,1049
1.07,1058
1.18,1032
1.28,1036
1.38,1086
1.49,1049
1.59,1037
1.70,1046
1.80,1049
1.90,1046
2.01,1039
2.11,1048
2.22,1051
2.32,1046
2.42,1043
2.53,1044
2.63,1035
2.74,1032
2.84,1054
2.94,1047
3.05,1035
3.15,1054
3.28,1049
3.38,1040
3.48,1034
3.59,1040
3.69,1049
3.80,1047
3.90,1050
4.00,1043
4.11,1046
4.21,1043
4.32,1040
4.42,1046
4.52,1043
4.63,1051
4.73,1051
4.84,1039
4.94,1051
5.04,1060
5.15,1049
5.25,1058
5.36,1045
5.46,1036
5.56,1045
5.67,1042
5.77,1034
5.90,1058
6.00,1056
6.10,1040
6.21,1043
6.31,1043
6.42,1032
6.52,1045
6.62,1046
6.73,1043
6.83,1048
6.94,1039
7.04,1048
7.14,1043
7.25,1048
7.35,1041
7.46,1062
7.56,1052
7.66,1045
7.77,1051
7.87,1040
7.98,1041
8.08,1039
8.18,1039
8.29,1040
8.39,1048
8.50,1043
8.62,1043
8.72,1038
8.83,1037
8.93,1037
9.04,1052
9.14,1043
9.24,1042
9.35,1031
9.45,1043
9.56,1052
9.66,1047
9.76,1037
9.87,1046
9.97,1046
10.08,1034
10.18,1026
10.28,1052
10.39,1042
10.49,1037
10.60,1032
10.70,1051
10.80,1027
10.91,1048
11.01,1039
11.12,1021
11.24,869
11.34,923
11.44,1051
11.55,1033
11.65,842
11.76,1079
11.86,1043
11.96,1044
12.07,1024
12.17,1271
12.28,1070
12.38,1036
12.48,1030
12.59,1037
12.69,1035
12.80,1044
12.90,1042
13.00,1031
13.11,1055
13.21,1043
13.32,1044
13.42,1038
13.52,1050
13.65,1029
13.75,1044
13.86,1049
13.96,1049
14.06,1050
14.17,1047
14.27,1030
14.38,1026
14.48,1027
14.58,1049
14.69,1055
14.79,1040
14.90,1013
15.00,1044
15.10,1055
15.21,1041
15.31,1055
15.42,1042
15.52,1043
15.62,1050
15.73,1037
15.83,1047
15.94,1038
16.06,1044
16.16,1054
16.27,1038
16.37,1028
16.48,1038
16.58,1042
16.68,1041
16.79,1038
16.89,1038
17.00,1050
17.10,1046
17.20,1047
17.31,1047
17.41,1044
17.52,1035
17.62,1041
17.72,1038
17.83,1044
17.93,1053
18.04,1044
18.14,1043
18.24,1047
18.35,1042
18.45,1044
18.58,1049
18.68,1050
18.78,1041
18.89,1049
18.99,1038
19.10,1054
19.20,1041
19.31,1045
19.41,1047
19.51,1052
19.62,1041
19.72,1054
19.82,1045
19.93,1039
20.03,1049
20.14,1059
20.24,1036
20.34,1049
20.45,1036
20.55,1042
20.66,1044
20.76,1041
20.86,1046
20.99,1047
21.09,1030
21.20,1044
21.30,1040
21.40,1052
21.51,1044
21.61,1034
21.72,1040
21.82,1046
21.92,1044
22.03,1043
22.13,1038
22.24,1052
22.34,1044
22.44,1046
22.55,1035
22.65,1041
22.76,1031
22.86,1051
22.96,1055
23.07,1042
23.17,1048
23.28,1047
23.40,1039
23.50,1041
23.61,1044
23.71,1044
23.82,1039
23.92,1046
24.02,1044
24.13,1325
24.23,1104
24.34,1272
24.44,1574
24.54,1163
24.65,1132
24.75,1131
24.86,844
24.96,1409
25.07,1310
25.17,1065
25.27,1031
25.38,946
25.48,912
25.58,1142
25.69,1097
25.79,998
25.92,980
26.02,1006
26.12,987
1.18,1175
1.28,1038
1.38,1017
1.49,1129
1.63,987
1.73,1093
1.84,1098
1.94,998
2.04,1117
2.15,996
2.25,1296
2.36,933
2.46,999
2.56,1069
2.67,1347
2.77,1047
2.88,850
2.98,1113
3.08,1063
3.19,926
3.29,1120
3.40,1006
3.50,1109
3.71,1097
3.90,1019
4.00,1064
4.10,1088
4.21,1075
4.31,1061
4.50,1019
4.60,1085
4.71,1062
4.81,1085
4.92,1121
5.11,1034
5.21,1171
5.31,1287
5.42,1036
5.52,1158
5.80,1011
5.90,1008
6.01,1049
6.11,1073
6.30,1030
6.40,1106
6.51,944
6.61,1048
6.72,865
6.93,2581
7.06,742
7.16,104
7.35,456
7.45,2069
7.56,2680
7.66,1148
7.76,555
7.95,504
8.06,126
8.16,1917
8.26,2645
8.37,2113
8.56,3095
8.66,964
8.76,781
8.87,1817
8.97,492
9.24,635
9.42,2264
9.53,2389
9.63,2089
9.74,1376
9.84,1245
10.04,1484
10.15,1486
10.25,1426
10.38,979
10.48,729
10.58,1233
10.69,1830
10.79,2108
10.98,1372
11.08,1428
11.19,1835
11.29,1734
11.40,956
11.62,1179
11.72,2183
11.83,1691
11.93,1532
12.04,1459
12.22,1103
12.33,1262
12.43,1434
12.54,1443
12.64,1148
12.83,991
12.93,1160
13.04,1082
13.14,1195
13.26,1762
13.37,1331
13.56,2200
13.66,835
13.77,1127
13.87,1650
13.98,948
14.16,1037
14.27,1269
14.37,1179
14.48,1222
14.58,1051
14.77,1121
14.87,1081
14.98,1082
15.08,1092
15.18,1155
15.37,951
15.48,837
15.58,1051
15.68,1218
15.79,1011
15.98,1126
16.10,1105
16.20,853
16.39,1327
16.50,995
16.60,974
16.70,1267
16.81,904
17.10,1164
17.20,869
17.48,1488
17.58,684
